Location,Coordinates
"""banani dohs""","""(23.794234722576057, 90.4003372843106)"""
"""bashundhara r/a""","""(23.8166725, 90.42942658076267)"""
"""jatrabari mor""","""(23.7100414, 90.43458947723566)"""
"""kamlapur""","""(23.7321219, 90.4246653)"""
"""kolabagan""","""(23.7401951, 90.3901161)"""
"""mirpur -10""","""(23.8083649, 90.3682614)"""
"""mohammadpur bus stand""","""(23.7569928, 90.3617359)"""
"""kazipara metro station""","""(23.79922245, 90.37194464492919)"""
"""banani graveyard""","""(23.7997918, 90.40405364794333)"""
"""boithok,banani""","""(23.789814550000003, 90.40115435264136)"""
"""dhaka new market""","""(23.7333917, 90.3839716)"""
"""gulshan 1""","""(23.780553, 90.4169)"""
"""lalbagh fort""","""(23.718842950000003, 90.38815279077747)"""
"""mohakhali dohs""","""(23.78075935, 90.39529405582113)"""
"""tejgaon""","""(23.7628204, 90.3912992)"""
"""ashkona""","""(23.8517183, 90.4188884)"""
"""dohs baridhara""","""(23.8138797, 90.41083230869188)"""
"""kuril flyover""","""(23.82304429739868, 90.421493744078)"""
"""nikunja 1""","""(23.8242795, 90.4191806)"""
"""banani""","""(23.790321, 90.4076959)"""
"""bangladesh air force museum""","""(23.77928705, 90.38088325899281)"""
"""dhanmondi ideal school""","""(23.7437487, 90.3677361)"""
"""hazaribag, dhaka""","""(23.7337242, 90.3557802)"""
"""katabon""","""(23.7387417, 90.3910003)"""
"""mirpur 1""","""(23.801924, 90.3523456)"""
"""mirpur-1""","""(23.801924, 90.3523456)"""
"""tejkunipara""","""(23.7618151, 90.3924323)"""
"""baitul mukarram national mosque""","""(23.72947245, 90.412617)"""
"""east kazipara""","""(23.7987559, 90.3754353)"""
"""jigatola""","""(23.7390073, 90.3710009)"""
"""kalabagan""","""(23.7487244, 90.37919898123414)"""
"""kallyanpur""","""(23.7806848, 90.3613321)"""
"""kathalbagan bazar""","""(23.736393200000002, 90.37610450778973)"""
"""mirpur 11""","""(23.8202931, 90.3710408)"""
"""square hospital, panthapath,""","""(23.7530278, 90.3817096)"""
"""taltola""","""(23.8337717, 90.3851783)"""
"""nilkhet rd""","""(23.733264551083217, 90.39134627776399)"""
"""arambagh""","""(23.7308424, 90.4212047)"""
"""azimpur""","""(23.7252946, 90.3834641)"""
"""bijoy nagar water tank""","""(23.73361185, 90.4105185)"""
"""dhaka college""","""(23.734321350000002, 90.38189654736125)"""
"""karatitola""","""(23.7126958, 90.4255029)"""
"""karatitola,""","""(23.7126958, 90.4255029)"""
"""narinda""","""(23.710897, 90.4220765)"""
"""wari""","""(23.7361919, 90.3861398)"""
"""kakrail""","""(23.7385398, 90.4071475)"""
"""naya paltan""","""(23.74448245, 90.40836017179055)"""
"""rajarbagh police lines""","""(23.74042675, 90.41714887536907)"""
"""ramna""","""(23.7398559, 90.4022658)"""
"""bashabo""","""(23.7405474, 90.4333478)"""
"""gabtoli""","""(23.6324042, 90.48826063199806)"""
"""green life medical college hospital""","""(23.7461412, 90.3854888)"""
"""hazaribagh""","""(23.7319838, 90.368413)"""
"""motalib plaza""","""(23.74205435, 90.39216769077933)"""
"""geneva camp,dhaka""","""(23.76792615, 90.36548535885899)"""
"""sher-e-bangla national cricket stadium""","""(23.80687965, 90.36364220446612)"""
"""shewrapara metro station""","""(23.79094835, 90.37544607262186)"""
"""shia jame masjid""","""(23.7620967, 90.35911326557111)"""
"""bashundhara city shopping complex""","""(23.751142, 90.39064113117405)"""
"""karwan bazar""","""(23.7512656, 90.3927762)"""
"""mirpur 10""","""(23.8083649, 90.3682614)"""
"""mohammadpur town hall market""","""(23.759962299999998, 90.36617782313698)"""
"""motijheel""","""(23.7272598, 90.4211957)"""
"""square hospital""","""(23.8162366, 90.3658265)"""
"""dhaka uddan housing""","""(23.7643684, 90.3478272)"""
"""kaptan bazar""","""(23.7222987, 90.4131118)"""
"""lab aid hospital""","""(23.7986834, 90.35383990038946)"""
"""shahid nagar,dhaka""","""(23.715375941201717, 90.38077543980312)"""
